params,rank_by_CV_mean_test_rmse,CV_mean_train_rmse,CV_mean_test_rmse,mean_train_rmse,mean_test_rmse,Train Years,Validate Year,model
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.75}",538,124023.08369754574,143014.32047206475,123856.97809469738,110237.6258099079,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.75}",539,126414.27830175914,143079.23239039045,128623.1191754218,113327.69193770195,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",540,126083.0907624223,143131.5874530219,127100.07042716979,114244.07016737765,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.75}",541,126981.28966912875,143169.70695431432,126628.52345006116,112151.05038738783,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 10, 'subsample': 0.75}",542,127949.39266403504,143337.08808818614,129262.92970926843,111513.8218747197,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 0.75}",543,127626.40175494115,143366.69157607536,131721.75637422575,117810.15011649419,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 1.0}",544,125376.53095995475,143442.63171351483,126825.20174045014,112394.07478810573,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 10, 'subsample': 1.0}",545,128520.61404121324,143486.04327018562,129986.87864702404,111042.66899222769,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 0.75}",546,126020.78428755331,143494.78090377958,127140.18483318212,112505.5974620519,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 10, 'subsample': 1.0}",547,128513.016556898,143524.4706915158,129986.87864702404,111042.66899222769,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",548,125520.3105961216,143652.04519974728,126187.60001556626,112666.36729938086,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",549,127916.48083077537,143865.7570447097,130762.4480139205,116198.83335624641,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 10, 'subsample': 0.75}",550,127776.78223247295,143914.2141754804,129050.22696145608,111489.09222186687,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 10, 'subsample': 0.75}",551,127977.65850411299,143925.13723208298,129207.06888424775,111824.61129705096,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.5}",552,128987.83667715319,143961.56823517804,129560.13222741064,116559.23561114479,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 10, 'subsample': 1.0}",553,129025.81598582135,143993.30439571827,130605.44862859687,111418.28062095563,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 0.75}",554,125143.0854535408,143999.509044961,127292.50407807942,113019.82472061685,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",555,124831.6566476441,144016.05058522202,126171.92014502766,113543.1699115453,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.75}",556,128982.30558422056,144053.95413255348,129216.77267353308,114296.54468203074,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.5}",557,126550.31426662183,144104.42493993675,126220.89127178045,114142.3202883821,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.5}",558,128271.93571320592,144138.14644112848,130199.18140393273,117203.89409878907,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.75}",559,126536.18191832857,144159.83412920334,126090.11470293721,110732.41296753866,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.5}",560,128245.35636960431,144191.98377336247,130036.00029567734,116540.17605877988,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 0.75}",561,126224.95938994871,144199.29348219966,126600.89745855387,111426.43660551505,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",562,130176.17885309746,144265.60030734784,130440.02806573173,116646.56269367128,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 0.75}",563,127647.05632274065,144308.40865555705,130186.25628147548,116226.66106963887,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 0.75}",564,127214.48085953163,144335.25769154023,128199.8976828752,112714.7464650181,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.75}",565,129271.23154314388,144410.06201016865,128568.59689101132,113523.03719723159,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.75}",566,125830.38816800374,144465.3097004719,129329.91272000631,115146.71868608207,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",567,127540.93337412174,144510.48057324975,129941.47105633297,117377.90890982753,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",568,128056.66885610299,144626.12836715,128619.6846586208,113659.09655556885,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.5}",569,125745.05044223483,144671.0953302451,130221.9491747477,117449.97686340683,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.75}",570,128154.98203283947,144680.8632224591,133081.1521409858,117654.76947359003,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.5}",571,127120.77400702509,145023.05306126754,128221.82121173419,114939.35792643903,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",572,128463.99503493171,145038.40700181626,130529.11159418427,115111.98006108901,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",573,126448.92597352908,145104.98006065146,128739.05816603675,116657.61156717458,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",574,129151.13552650096,145157.82499055789,130088.68070492712,115088.31404254244,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.5}",575,128436.82223486698,145304.35770306998,129299.50240746302,115698.76231351068,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 0.75}",576,129015.91408426472,145314.21643875274,128995.4212905378,114400.33409809232,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 1.0}",577,126487.50010795532,145324.97350999594,127630.1824665841,112894.48393158408,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",578,128827.38115022444,145556.4167194553,129906.5216102823,114794.42872472246,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 0.75}",579,128375.65586770931,145643.8801942682,130829.76094313731,115654.38991815918,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 10, 'subsample': 1.0}",580,129713.6051784387,145705.58216706963,131184.12948137207,111833.72402030646,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 10, 'subsample': 1.0}",581,129414.73972585228,145811.65463152493,130936.52975395999,111702.5491576695,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 10, 'subsample': 1.0}",581,129414.73972585228,145811.65463152493,130936.52975395999,111702.5491576695,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",583,128052.27253953485,145992.05346763783,130946.70096586127,117383.86632801015,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 10, 'subsample': 0.75}",584,129342.98651209663,146005.14722065246,130298.23996252846,112221.20461889733,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.5}",585,128729.8454708111,146011.36194764343,131725.5813700341,117796.5074754188,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 1.0}",586,130354.6731366413,146024.39126036878,132270.435751227,117652.56163333882,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",587,128986.20169832016,146279.13470260118,134114.48645406406,119977.33561283317,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 10, 'subsample': 0.75}",588,129298.90506365303,146435.2439547039,130552.91794207998,112493.24024526832,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 10, 'subsample': 0.75}",589,129198.15158408607,146529.74289317106,130213.48834495561,112311.34222438862,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",590,129026.00488529168,146671.67507842966,131335.04362297404,116824.2312957089,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",591,130585.37178492839,146924.22141232123,133846.90409177123,120543.01952558887,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.5}",592,128873.30084857492,147099.250706801,128343.04272349653,114816.5507133408,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",593,129023.21191462013,147135.43396696248,130416.51945462392,115408.88332896738,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.5}",594,130151.2093007163,147221.73163081435,130366.86258909888,116151.02186230826,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",595,134488.07156511003,147268.20817727287,137882.89743675914,123687.60002168716,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.30000000000000004, 'n_estimators': 100, 'subsample': 0.5}",596,131694.36186081968,147321.7722552353,132426.10769202662,118424.19691933661,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.075, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",597,130673.68675907415,147363.98288775908,130005.20176589789,115728.08514009717,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",598,132080.17498175317,147466.35730508697,133263.64489642647,117071.741591606,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",599,132016.9135298158,147713.07112947115,133367.4392738372,117143.27405784138,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",600,128371.96708863365,147714.59997577715,130746.17427620279,118777.25092102107,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.025, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",601,132039.11690020378,147720.7043755313,133378.66147738954,117214.61600569291,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 10, 'subsample': 0.75}",602,131829.27277561763,147742.89553484053,132833.62362711455,114069.3572807944,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 10, 'subsample': 1.0}",603,131241.0006240512,147760.09304262104,132886.02396322586,113374.62338915528,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 10, 'subsample': 1.0}",604,131241.00062405117,147760.09304262107,132886.02396322586,113374.62338915528,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",605,127027.8811353663,147765.21954594017,129865.13969477626,117519.98231475618,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 1.0}",606,127027.8811353663,147765.2195459402,129865.13969477628,117519.9823147562,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 1.0}",606,127027.8811353663,147765.2195459402,129865.1396947763,117519.98231475624,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",606,127027.8811353663,147765.2195459402,129865.13969477628,117519.98231475621,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 1.0}",606,127027.8811353663,147765.2195459402,129865.13969477628,117519.98231475621,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",610,127027.8811353663,147765.2195459402,129865.13969477628,117519.98231475623,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 1.0}",610,127027.88113536632,147765.2195459402,129865.13969477628,117519.98231475624,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 1.0}",610,127027.88113536632,147765.2195459402,129865.13969477627,117519.98231475621,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 1.0}",610,127027.8811353663,147765.2195459402,129865.13969477627,117519.98231475618,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.15, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 10, 'subsample': 1.0}",614,131263.32325926572,147774.69752130934,132886.02396322586,113374.6233891553,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 1.0}",615,128317.85435164603,147810.5992292149,130914.25945943914,118577.52853806851,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 3, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 1.0}",615,128317.85435164603,147810.5992292149,130914.25945943913,118577.52853806851,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.30000000000000004, 'n_estimators': 500, 'subsample': 1.0}",615,128317.85435164603,147810.5992292149,130914.25945943913,118577.52853806848,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 1.0}",615,128317.85435164603,147810.5992292149,130914.25945943913,118577.5285380685,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",615,128317.85435164603,147810.5992292149,130914.25945943911,118577.52853806848,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.5, 'n_estimators': 500, 'subsample': 1.0}",615,128317.85435164603,147810.5992292149,130914.25945943914,118577.5285380685,"[2016, 2017, 2018]",[2019],Boosting
"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 0.30000000000000004, 'min_samples_split': 0.1, 'n_estimators': 500, 'subsample': 1.0}",615,128317.85435164603,147810.5992292149,130914.25945943911,118577.52853806848,"[2016, 2017, 2018]",[2019],Boosting
